window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,1.5,0.7,25,5,3587.5,952
10,1.5,0.7,25,7,5022.5,952
10,1.5,0.7,25,10,7175.0,952
10,1.5,0.7,30,3,2152.5,952
10,1.5,0.7,30,5,3587.5,952
10,1.5,0.7,30,7,5022.5,952
10,1.5,0.7,30,10,7175.0,952
10,2.0,0.3,10,3,151.5,62
10,2.0,0.3,10,5,252.5,62
10,2.0,0.3,10,7,353.5,62
10,2.0,0.3,10,10,505.0,62
10,2.0,0.3,15,3,151.5,62
10,2.0,0.3,15,5,252.5,62
10,2.0,0.3,15,7,353.5,62
10,2.0,0.3,15,10,505.0,62
10,2.0,0.3,20,3,151.5,62
10,2.0,0.3,20,5,252.5,62
10,2.0,0.3,20,7,353.5,62
10,2.0,0.3,20,10,505.0,62
10,2.0,0.3,25,3,151.5,62
10,2.0,0.3,25,5,252.5,62
10,2.0,0.3,25,7,353.5,62
10,2.0,0.3,25,10,505.0,62
10,2.0,0.3,30,3,151.5,62
10,2.0,0.3,30,5,252.5,62
10,2.0,0.3,30,7,353.5,62
10,2.0,0.3,30,10,505.0,62
10,2.0,0.4,10,3,154.5,62
10,2.0,0.4,10,5,257.5,62
10,2.0,0.4,10,7,360.5,62
10,2.0,0.4,10,10,515.0,62
10,2.0,0.4,15,3,154.5,62
10,2.0,0.4,15,5,257.5,62
10,2.0,0.4,15,7,360.5,62
10,2.0,0.4,15,10,515.0,62
10,2.0,0.4,20,3,154.5,62
10,2.0,0.4,20,5,257.5,62
10,2.0,0.4,20,7,360.5,62
10,2.0,0.4,20,10,515.0,62
10,2.0,0.4,25,3,154.5,62
10,2.0,0.4,25,5,257.5,62
10,2.0,0.4,25,7,360.5,62
10,2.0,0.4,25,10,515.0,62
10,2.0,0.4,30,3,154.5,62
10,2.0,0.4,30,5,257.5,62
10,2.0,0.4,30,7,360.5,62
10,2.0,0.4,30,10,515.0,62
10,2.0,0.5,10,3,177.0,66
10,2.0,0.5,10,5,295.0,66
10,2.0,0.5,10,7,413.0,66
10,2.0,0.5,10,10,590.0,66
10,2.0,0.5,15,3,177.0,66
10,2.0,0.5,15,5,295.0,66
10,2.0,0.5,15,7,413.0,66
10,2.0,0.5,15,10,590.0,66
10,2.0,0.5,20,3,177.0,66
10,2.0,0.5,20,5,295.0,66
10,2.0,0.5,20,7,413.0,66
10,2.0,0.5,20,10,590.0,66
10,2.0,0.5,25,3,177.0,66
10,2.0,0.5,25,5,295.0,66
10,2.0,0.5,25,7,413.0,66
10,2.0,0.5,25,10,590.0,66
10,2.0,0.5,30,3,177.0,66
10,2.0,0.5,30,5,295.0,66
10,2.0,0.5,30,7,413.0,66
10,2.0,0.5,30,10,590.0,66
10,2.0,0.6,10,3,180.0,68
10,2.0,0.6,10,5,300.0,68
10,2.0,0.6,10,7,420.0,68
10,2.0,0.6,10,10,600.0,68
10,2.0,0.6,15,3,180.0,68
10,2.0,0.6,15,5,300.0,68
10,2.0,0.6,15,7,420.0,68
10,2.0,0.6,15,10,600.0,68
10,2.0,0.6,20,3,180.0,68
10,2.0,0.6,20,5,300.0,68
10,2.0,0.6,20,7,420.0,68
10,2.0,0.6,20,10,600.0,68
10,2.0,0.6,25,3,180.0,68
10,2.0,0.6,25,5,300.0,68
10,2.0,0.6,25,7,420.0,68
10,2.0,0.6,25,10,600.0,68
10,2.0,0.6,30,3,180.0,68
10,2.0,0.6,30,5,300.0,68
10,2.0,0.6,30,7,420.0,68
10,2.0,0.6,30,10,600.0,68
10,2.0,0.7,10,3,180.0,68
10,2.0,0.7,10,5,300.0,68
10,2.0,0.7,10,7,420.0,68
10,2.0,0.7,10,10,600.0,68
10,2.0,0.7,15,3,180.0,68
10,2.0,0.7,15,5,300.0,68
10,2.0,0.7,15,7,420.0,68
10,2.0,0.7,15,10,600.0,68
10,2.0,0.7,20,3,180.0,68
10,2.0,0.7,20,5,300.0,68
10,2.0,0.7,20,7,420.0,68
10,2.0,0.7,20,10,600.0,68
10,2.0,0.7,25,3,180.0,68
10,2.0,0.7,25,5,300.0,68
10,2.0,0.7,25,7,420.0,68
10,2.0,0.7,25,10,600.0,68
10,2.0,0.7,30,3,180.0,68
10,2.0,0.7,30,5,300.0,68
10,2.0,0.7,30,7,420.0,68
10,2.0,0.7,30,10,600.0,68
10,2.5,0.3,10,3,45.0,16
10,2.5,0.3,10,5,75.0,16
10,2.5,0.3,10,7,105.0,16
10,2.5,0.3,10,10,150.0,16
10,2.5,0.3,15,3,45.0,16
10,2.5,0.3,15,5,75.0,16
10,2.5,0.3,15,7,105.0,16
10,2.5,0.3,15,10,150.0,16
10,2.5,0.3,20,3,45.0,16
10,2.5,0.3,20,5,75.0,16
10,2.5,0.3,20,7,105.0,16
10,2.5,0.3,20,10,150.0,16
10,2.5,0.3,25,3,45.0,16
