window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,1.5,0.6,25,7,81595.5,8846
10,1.5,0.6,25,10,116565.0,8846
10,1.5,0.6,30,3,34969.5,8846
10,1.5,0.6,30,5,58282.5,8846
10,1.5,0.6,30,7,81595.5,8846
10,1.5,0.6,30,10,116565.0,8846
10,1.5,0.7,10,3,36931.5,9362
10,1.5,0.7,10,5,61552.5,9362
10,1.5,0.7,10,7,86173.5,9362
10,1.5,0.7,10,10,123105.0,9362
10,1.5,0.7,15,3,36931.5,9362
10,1.5,0.7,15,5,61552.5,9362
10,1.5,0.7,15,7,86173.5,9362
10,1.5,0.7,15,10,123105.0,9362
10,1.5,0.7,20,3,36931.5,9362
10,1.5,0.7,20,5,61552.5,9362
10,1.5,0.7,20,7,86173.5,9362
10,1.5,0.7,20,10,123105.0,9362
10,1.5,0.7,25,3,36931.5,9362
10,1.5,0.7,25,5,61552.5,9362
10,1.5,0.7,25,7,86173.5,9362
10,1.5,0.7,25,10,123105.0,9362
10,1.5,0.7,30,3,36931.5,9362
10,1.5,0.7,30,5,61552.5,9362
10,1.5,0.7,30,7,86173.5,9362
10,1.5,0.7,30,10,123105.0,9362
10,2.0,0.3,10,3,25567.5,5770
10,2.0,0.3,10,5,42612.5,5770
10,2.0,0.3,10,7,59657.5,5770
10,2.0,0.3,10,10,85225.0,5770
10,2.0,0.3,15,3,25567.5,5770
10,2.0,0.3,15,5,42612.5,5770
10,2.0,0.3,15,7,59657.5,5770
10,2.0,0.3,15,10,85225.0,5770
10,2.0,0.3,20,3,25567.5,5770
10,2.0,0.3,20,5,42612.5,5770
10,2.0,0.3,20,7,59657.5,5770
10,2.0,0.3,20,10,85225.0,5770
10,2.0,0.3,25,3,25567.5,5770
10,2.0,0.3,25,5,42612.5,5770
10,2.0,0.3,25,7,59657.5,5770
10,2.0,0.3,25,10,85225.0,5770
10,2.0,0.3,30,3,25567.5,5770
10,2.0,0.3,30,5,42612.5,5770
10,2.0,0.3,30,7,59657.5,5770
10,2.0,0.3,30,10,85225.0,5770
10,2.0,0.4,10,3,29142.0,6634
10,2.0,0.4,10,5,48570.0,6634
10,2.0,0.4,10,7,67998.0,6634
10,2.0,0.4,10,10,97140.0,6634
10,2.0,0.4,15,3,29142.0,6634
10,2.0,0.4,15,5,48570.0,6634
10,2.0,0.4,15,7,67998.0,6634
10,2.0,0.4,15,10,97140.0,6634
10,2.0,0.4,20,3,29142.0,6634
10,2.0,0.4,20,5,48570.0,6634
10,2.0,0.4,20,7,67998.0,6634
10,2.0,0.4,20,10,97140.0,6634
10,2.0,0.4,25,3,29142.0,6634
10,2.0,0.4,25,5,48570.0,6634
10,2.0,0.4,25,7,67998.0,6634
10,2.0,0.4,25,10,97140.0,6634
10,2.0,0.4,30,3,29142.0,6634
10,2.0,0.4,30,5,48570.0,6634
10,2.0,0.4,30,7,67998.0,6634
10,2.0,0.4,30,10,97140.0,6634
10,2.0,0.5,10,3,30414.0,6942
10,2.0,0.5,10,5,50690.0,6942
10,2.0,0.5,10,7,70966.0,6942
10,2.0,0.5,10,10,101380.0,6942
10,2.0,0.5,15,3,30414.0,6942
10,2.0,0.5,15,5,50690.0,6942
