imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.2,4.0,0.5,20,7,52.5,320
0.2,4.0,0.5,20,10,75.0,320
0.2,4.0,0.5,25,3,22.5,320
0.2,4.0,0.5,25,5,37.5,320
0.2,4.0,0.5,25,7,52.5,320
0.2,4.0,0.5,25,10,75.0,320
0.2,4.0,0.5,30,3,22.5,320
0.2,4.0,0.5,30,5,37.5,320
0.2,4.0,0.5,30,7,52.5,320
0.2,4.0,0.5,30,10,75.0,320
0.2,4.0,1.0,10,3,6.0,318
0.2,4.0,1.0,10,5,10.0,318
0.2,4.0,1.0,10,7,14.0,318
0.2,4.0,1.0,10,10,20.0,318
0.2,4.0,1.0,15,3,6.0,318
0.2,4.0,1.0,15,5,10.0,318
0.2,4.0,1.0,15,7,14.0,318
0.2,4.0,1.0,15,10,20.0,318
0.2,4.0,1.0,20,3,6.0,318
0.2,4.0,1.0,20,5,10.0,318
0.2,4.0,1.0,20,7,14.0,318
0.2,4.0,1.0,20,10,20.0,318
0.2,4.0,1.0,25,3,6.0,318
0.2,4.0,1.0,25,5,10.0,318
0.2,4.0,1.0,25,7,14.0,318
0.2,4.0,1.0,25,10,20.0,318
0.2,4.0,1.0,30,3,6.0,318
0.2,4.0,1.0,30,5,10.0,318
0.2,4.0,1.0,30,7,14.0,318
0.2,4.0,1.0,30,10,20.0,318
0.2,4.0,1.5,10,3,-52.5,316
0.2,4.0,1.5,10,5,-87.5,316
0.2,4.0,1.5,10,7,-122.5,316
0.2,4.0,1.5,10,10,-175.0,316
0.2,4.0,1.5,15,3,-52.5,316
0.2,4.0,1.5,15,5,-87.5,316
0.2,4.0,1.5,15,7,-122.5,316
0.2,4.0,1.5,15,10,-175.0,316
0.2,4.0,1.5,20,3,-52.5,316
0.2,4.0,1.5,20,5,-87.5,316
0.2,4.0,1.5,20,7,-122.5,316
0.2,4.0,1.5,20,10,-175.0,316
0.2,4.0,1.5,25,3,-52.5,316
0.2,4.0,1.5,25,5,-87.5,316
0.2,4.0,1.5,25,7,-122.5,316
0.2,4.0,1.5,25,10,-175.0,316
0.2,4.0,1.5,30,3,-52.5,316
0.2,4.0,1.5,30,5,-87.5,316
0.2,4.0,1.5,30,7,-122.5,316
0.2,4.0,1.5,30,10,-175.0,316
0.2,4.0,2.0,10,3,-73.5,316
0.2,4.0,2.0,10,5,-122.5,316
0.2,4.0,2.0,10,7,-171.5,316
0.2,4.0,2.0,10,10,-245.0,316
0.2,4.0,2.0,15,3,-73.5,316
0.2,4.0,2.0,15,5,-122.5,316
0.2,4.0,2.0,15,7,-171.5,316
0.2,4.0,2.0,15,10,-245.0,316
0.2,4.0,2.0,20,3,-73.5,316
0.2,4.0,2.0,20,5,-122.5,316
0.2,4.0,2.0,20,7,-171.5,316
0.2,4.0,2.0,20,10,-245.0,316
0.2,4.0,2.0,25,3,-73.5,316
0.2,4.0,2.0,25,5,-122.5,316
0.2,4.0,2.0,25,7,-171.5,316
0.2,4.0,2.0,25,10,-245.0,316
